id,lat,lon,rain,sea,elevation,dist_river,dist_drainage,rain_norm,sea_norm,elevation_norm,dist_river_norm,drainage_norm,flood_index_base,water_influence,target_risk,is_flooded
N_0,12.8,74.81,0.0,1.0,0.0,1.8284132708080094,0.3998273467819543,0.0,0.3333333333333333,0.0,0.18284132708080095,0.07996546935639086,0.3333333333333333,0.518561044532222,0.49222923874801366,0
N_1,12.8,74.82,0.0,1.0,0.0,2.6284667142368745,1.026359666927721,0.0,0.3333333333333333,0.0,0.26284667142368745,0.20527193338554423,0.3333333333333333,0.36650621199888456,0.6809298195502034,1
N_2,12.8,74.83,0.0,1.0,0.0,3.297094792557315,1.8470096650213863,0.0,0.3333333333333333,0.0,0.32970947925573146,0.36940193300427726,0.3333333333333333,0.29436917750746816,0.2694564624417037,1
N_3,12.8,74.84,0.0,1.0,11.0,3.202696027243024,2.693582491293187,0.0,0.3333333333333333,0.11,0.3202696027243024,0.5387164982586374,0.3333333333333333,0.30278293604718,0.47573442541278915,0
N_4,12.8,74.85,0.0,1.0,15.0,2.574296949685301,3.6208075816109386,0.0,0.3333333333333333,0.15,0.2574296949685301,0.7241615163221877,0.3333333333333333,0.37393005295005677,0.5697118695579357,1
N_5,12.8,74.86,0.0,1.0,18.0,2.1308159869768692,4.6169750051038205,0.0,0.3333333333333333,0.18,0.21308159869768692,0.9233950010207641,0.3333333333333333,0.4482664665475919,0.32809685406253464,0
N_6,12.8,74.87,0.0,1.0,30.0,2.1921242813107455,5.645707979451753,0.0,0.3333333333333333,0.3,0.21921242813107455,1.0,0.3333333333333333,0.4362765178806764,0.0,0
N_7,12.8,74.88,0.0,1.0,57.0,2.7243533302107688,6.692004834255331,0.0,0.3333333333333333,0.57,0.27243533302107686,1.0,0.3333333333333333,0.354063349405853,0.44438792536738825,0
N_8,12.8,74.89,0.0,1.0,7.0,3.5200075817831924,7.748753997632019,0.0,0.3333333333333333,0.07,0.3520007581783192,1.0,0.3333333333333333,0.27624251535611605,0.4427319212411868,0
N_9,12.8,74.9,0.0,1.0,20.0,4.439647033405203,8.563695509943614,0.0,0.3333333333333333,0.2,0.4439647033405203,1.0,0.3333333333333333,0.22028144316980017,0.5764366682197097,1
N_10,12.8,74.91,0.0,1.0,19.0,4.503707632676918,9.14397654253728,0.0,0.3333333333333333,0.19,0.4503707632676918,1.0,0.3333333333333333,0.21721622652621186,0.6673738629424627,1
N_11,12.81,74.81,0.0,1.0,0.0,2.797162988963595,0.6236424003022828,0.0,0.3333333333333333,0.0,0.2797162988963595,0.12472848006045656,0.3333333333333333,0.34516525435723966,0.26500808359773914,0
N_12,12.81,74.82,0.0,1.0,0.0,3.374866158096178,0.48589588030759606,0.0,0.3333333333333333,0.0,0.3374866158096178,0.09717917606151921,0.3333333333333333,0.287780868241522,0.10676228523359049,0
N_13,12.81,74.83,0.0,1.0,0.0,4.160148609908558,1.1843185992473413,0.0,0.3333333333333333,0.0,0.4160148609908558,0.23686371984946825,0.3333333333333333,0.23473359536663316,0.5678355327368316,1
N_14,12.81,74.84,0.0,1.0,11.0,4.116700729188027,2.214945299726694,0.0,0.3333333333333333,0.11,0.4116700729188027,0.44298905994533877,0.3333333333333333,0.23715223446567935,0.4081934179531356,0
N_15,12.81,74.85,0.0,1.0,15.0,3.5368224049677837,3.2803370678203896,0.0,0.3333333333333333,0.15,0.3536822404967784,0.6560674135640779,0.3333333333333333,0.27496531000084906,0.5788610937016313,1
N_16,12.81,74.86,0.0,1.0,18.0,3.228400135009905,4.3550541132049565,0.0,0.3333333333333333,0.18,0.3228400135009905,0.8710108226409913,0.3333333333333333,0.30044464590704145,0.49211960049028003,0
N_17,12.81,74.87,0.0,1.0,30.0,3.269187822557646,5.433565847561868,0.0,0.3333333333333333,0.3,0.3269187822557646,1.0,0.3333333333333333,0.29680743629213036,0.42643909032099525,0
N_18,12.81,74.88,0.0,1.0,57.0,3.6474892030226944,6.491276689566993,0.0,0.3333333333333333,0.57,0.36474892030226946,1.0,0.3333333333333333,0.2668453318540339,0.3181395803146021,0
N_19,12.81,74.89,0.0,1.0,7.0,3.54481355451749,7.040257948977578,0.0,0.3333333333333333,0.07,0.354481355451749,1.0,0.3333333333333333,0.2743624564171658,0.4811577266762075,0
N_20,12.81,74.9,0.0,1.0,20.0,3.5182513979922603,7.620120134094417,0.0,0.3333333333333333,0.2,0.351825139799226,1.0,0.3333333333333333,0.27637659465975534,0.4195360228694304,0
N_21,12.81,74.91,0.0,1.0,19.0,3.632106975655755,8.200068692224447,0.0,0.3333333333333333,0.19,0.3632106975655755,1.0,0.3333333333333333,0.2679451598046151,0.5327279960527194,0
N_22,12.82,74.81,0.0,1.0,0.0,3.844217580005263,1.2542851274100308,0.0,0.3333333333333333,0.0,0.3844217580005263,0.25085702548200617,0.3333333333333333,0.2535357088486649,0.3363584168725002,0
N_23,12.82,74.82,0.0,1.0,0.0,4.039257627837196,0.6116682004393945,0.0,0.3333333333333333,0.0,0.40392576278371956,0.1223336400878789,0.3333333333333333,0.24158921476035555,0.21888710234936767,1
N_24,12.82,74.83,0.0,1.0,0.0,3.9341515771675697,1.2353978785652229,0.0,0.3333333333333333,0.0,0.39341515771675695,0.24707957571304456,0.3333333333333333,0.24788359606014435,0.18904031244635788,0
N_25,12.82,74.84,0.0,1.0,11.0,4.121926301124008,2.24264151658619,0.0,0.3333333333333333,0.11,0.41219263011240076,0.44852830331723803,0.3333333333333333,0.23685870587882338,0.0,0
N_26,12.82,74.85,0.0,1.0,15.0,3.782741518587445,3.2990661016177745,0.0,0.3333333333333333,0.15,0.3782741518587445,0.6598132203235549,0.3333333333333333,0.25754997988220535,0.49251156448844763,0
N_27,12.82,74.86,0.0,1.0,18.0,3.5852449861664044,4.369141382738086,0.0,0.3333333333333333,0.18,0.35852449861664043,0.8738282765476171,0.3333333333333333,0.2713523805754513,0.40628143117605947,0
N_28,12.82,74.87,0.0,1.0,30.0,3.6703817355249244,5.036085413495085,0.0,0.3333333333333333,0.3,0.36703817355249246,1.0,0.3333333333333333,0.2652251337252929,0.4513521849583728,0
N_29,12.82,74.88,0.0,1.0,57.0,2.9295520399224566,5.517218829065297,0.0,0.3333333333333333,0.57,0.29295520399224567,1.0,0.3333333333333333,0.3300818031254534,0.3845952399987437,0
N_30,12.82,74.89,0.0,1.0,7.0,2.458406047819725,6.097714485106967,0.0,0.3333333333333333,0.07,0.2458406047819725,1.0,0.3333333333333333,0.3908683693318347,0.5809680953181711,1
N_31,12.82,74.9,0.0,1.0,20.0,2.419949898721702,6.6782073281821726,0.0,0.3333333333333333,0.2,0.2419949898721702,1.0,0.3333333333333333,0.39683328645036603,0.5240400770088668,0
N_32,12.82,74.91,0.0,1.0,19.0,2.831866311109141,7.303616092132765,0.0,0.3333333333333333,0.19,0.2831866311109141,1.0,0.3333333333333333,0.3410796720883547,0.5346104963736106,0
N_33,12.83,74.81,0.0,1.0,0.0,3.46387022491897,1.6539262875363856,0.0,0.3333333333333333,0.0,0.346387022491897,0.3307852575072771,0.3333333333333333,0.28059383111312264,0.2695861285932338,0
N_34,12.83,74.82,0.0,1.0,0.0,2.968111997633207,1.4165004536464623,0.0,0.3333333333333333,0.0,0.2968111997633207,0.28330009072929246,0.3333333333333333,0.325933342971644,0.2210513533849069,0
N_35,12.83,74.83,0.0,1.0,0.0,2.823414351832261,1.5435683109563705,0.0,0.3333333333333333,0.0,0.28234143518322613,0.3087136621912741,0.3333333333333333,0.34206577640054553,0.1686826934262687,0
N_36,12.83,74.84,0.0,1.0,7.0,3.079664957630642,2.26042975922663,0.0,0.3333333333333333,0.07,0.30796649576306423,0.45208595184532596,0.3333333333333333,0.3144985441312532,0.29435567004188645,0
N_37,12.83,74.85,0.0,1.0,10.0,2.752716659924213,3.0248186786809272,0.0,0.3333333333333333,0.1,0.2752716659924213,0.6049637357361854,0.3333333333333333,0.3505430504361995,0.060075150164447755,0
N_38,12.83,74.86,0.0,1.0,9.0,2.4743393220877303,3.662175367915246,0.0,0.3333333333333333,0.09,0.24743393220877302,0.7324350735830492,0.3333333333333333,0.3884491805023678,0.32617518373707594,0
N_39,12.83,74.87,0.0,1.0,6.0,2.649146716045894,4.0172441981068,0.0,0.3333333333333333,0.06,0.2649146716045894,0.80344883962136,0.3333333333333333,0.3637492295930655,0.5287364203557846,1
