latitude,longitude,elevation_m,slope_deg,aspect_deg,flood_risk_zone,source,resolution_m
12.82,74.81,4.9,11.34,7.8,HIGH,SRTM_30m_simulated,150
12.82,74.81135,7.0,3.31,18.3,MEDIUM,SRTM_30m_simulated,150
12.82,74.8127,9.8,5.07,210.1,MEDIUM,SRTM_30m_simulated,150
12.82,74.81405,10.9,1.16,312.3,MEDIUM,SRTM_30m_simulated,150
12.82,74.8154,13.7,8.46,310.9,MEDIUM,SRTM_30m_simulated,150
12.82,74.81675,16.1,13.22,349.4,LOW,SRTM_30m_simulated,150
12.82,74.8181,18.3,7.25,256.8,LOW,SRTM_30m_simulated,150
12.82,74.81945,21.7,4.94,307.5,LOW,SRTM_30m_simulated,150
12.82,74.8208,23.5,9.57,60.4,LOW,SRTM_30m_simulated,150
12.82,74.82215,26.1,5.65,102.2,LOW,SRTM_30m_simulated,150
12.82,74.8235,28.2,10.47,78.3,LOW,SRTM_30m_simulated,150
12.82,74.82485,30.0,15.6,261.6,LOW,SRTM_30m_simulated,150
12.82,74.8262,33.3,12.29,235.0,LOW,SRTM_30m_simulated,150
12.82,74.82755,36.4,7.91,147.7,LOW,SRTM_30m_simulated,150
12.82,74.8289,38.8,18.7,176.4,LOW,SRTM_30m_simulated,150
12.82,74.83025,41.9,17.63,309.2,LOW,SRTM_30m_simulated,150
12.82,74.8316,44.0,15.1,163.6,LOW,SRTM_30m_simulated,150
12.82,74.83295,46.6,6.73,295.2,LOW,SRTM_30m_simulated,150
12.82,74.8343,48.9,5.16,212.6,LOW,SRTM_30m_simulated,150
12.82,74.83565,51.2,20.1,118.0,LOW,SRTM_30m_simulated,150
12.82,74.837,54.6,15.44,87.9,LOW,SRTM_30m_simulated,150
12.82,74.83835,57.3,19.33,168.3,LOW,SRTM_30m_simulated,150
12.82,74.8397,59.5,20.67,252.8,LOW,SRTM_30m_simulated,150
12.82,74.84105,63.1,4.11,64.5,LOW,SRTM_30m_simulated,150
12.82,74.8424,64.8,9.42,14.8,LOW,SRTM_30m_simulated,150
12.82,74.84375,68.1,15.99,289.5,LOW,SRTM_30m_simulated,150
12.82,74.8451,70.2,9.54,137.6,LOW,SRTM_30m_simulated,150
12.82,74.84645,73.1,14.82,184.0,LOW,SRTM_30m_simulated,150
12.82,74.8478,76.7,24.7,88.8,LOW,SRTM_30m_simulated,150
12.82,74.84915,79.6,5.61,293.8,LOW,SRTM_30m_simulated,150
12.82,74.8505,81.5,25.15,25.2,LOW,SRTM_30m_simulated,150
12.82,74.85185,83.1,21.47,12.6,LOW,SRTM_30m_simulated,150
12.82,74.8532,84.9,19.15,280.5,LOW,SRTM_30m_simulated,150
12.82,74.85455,89.3,1.34,26.8,LOW,SRTM_30m_simulated,150
12.82,74.8559,92.5,4.35,221.3,LOW,SRTM_30m_simulated,150
12.82,74.85725,94.8,4.41,166.2,LOW,SRTM_30m_simulated,150
12.82,74.8586,96.9,27.08,263.7,LOW,SRTM_30m_simulated,150
12.82,74.85995,100.8,0.06,242.3,LOW,SRTM_30m_simulated,150
12.82,74.8613,102.4,13.24,130.8,LOW,SRTM_30m_simulated,150
12.82,74.86265,107.0,8.82,277.9,LOW,SRTM_30m_simulated,150
12.82,74.864,108.3,23.77,282.9,LOW,SRTM_30m_simulated,150
12.82,74.86535,111.9,23.48,82.4,LOW,SRTM_30m_simulated,150
12.82,74.8667,114.0,28.81,333.0,LOW,SRTM_30m_simulated,150
12.82,74.86805,117.1,20.14,50.1,LOW,SRTM_30m_simulated,150
12.82,74.8694,120.4,3.82,184.3,LOW,SRTM_30m_simulated,150
12.82,74.87075,123.0,8.68,39.8,LOW,SRTM_30m_simulated,150
12.82,74.8721,126.2,22.58,112.3,LOW,SRTM_30m_simulated,150
12.82,74.87345,128.9,17.99,120.2,LOW,SRTM_30m_simulated,150
12.82,74.8748,132.0,2.18,280.0,LOW,SRTM_30m_simulated,150
12.82,74.87615,135.0,17.49,98.7,LOW,SRTM_30m_simulated,150
12.82,74.8775,138.0,6.98,123.1,LOW,SRTM_30m_simulated,150
12.82,74.87885,141.8,24.4,101.9,LOW,SRTM_30m_simulated,150
12.82,74.8802,144.5,19.77,267.8,LOW,SRTM_30m_simulated,150
