latitude,longitude,elevation_m,slope_deg,aspect_deg,flood_risk_zone,source,resolution_m
12.82,74.81,4.9,11.34,7.8,HIGH,SRTM_30m_simulated,150
12.8227,74.81,4.7,11.51,90.9,HIGH,SRTM_30m_simulated,150
12.82405,74.81,3.6,11.54,118.6,HIGH,SRTM_30m_simulated,150
12.82675,74.81,4.4,1.09,223.6,HIGH,SRTM_30m_simulated,150
12.8281,74.81,4.5,0.28,30.9,HIGH,SRTM_30m_simulated,150
12.82945,74.81,3.5,1.23,31.9,HIGH,SRTM_30m_simulated,150
12.8308,74.81,3.4,7.05,115.2,HIGH,SRTM_30m_simulated,150
12.83215,74.81,3.3,2.85,90.6,HIGH,SRTM_30m_simulated,150
12.83215,74.81135,4.9,5.4,355.8,HIGH,SRTM_30m_simulated,150
12.8335,74.81,2.5,8.3,269.1,HIGH,SRTM_30m_simulated,150
12.8335,74.81135,4.6,7.29,266.9,HIGH,SRTM_30m_simulated,150
12.83485,74.81,2.5,0.47,144.1,HIGH,SRTM_30m_simulated,150
12.83485,74.81135,4.3,15.23,22.2,HIGH,SRTM_30m_simulated,150
12.8362,74.81,2.3,12.72,260.5,HIGH,SRTM_30m_simulated,150
12.8362,74.81135,4.0,1.36,72.6,HIGH,SRTM_30m_simulated,150
12.83755,74.81,1.3,7.75,261.5,HIGH,SRTM_30m_simulated,150
12.83755,74.81135,3.6,1.95,53.4,HIGH,SRTM_30m_simulated,150
12.8389,74.81,0.8,12.65,22.7,HIGH,SRTM_30m_simulated,150
12.8389,74.81135,2.2,1.22,300.8,HIGH,SRTM_30m_simulated,150
12.84025,74.81,0.0,7.62,300.0,HIGH,SRTM_30m_simulated,150
12.84025,74.81135,1.5,10.36,263.4,HIGH,SRTM_30m_simulated,150
12.84025,74.8127,3.6,0.84,52.1,HIGH,SRTM_30m_simulated,150
12.8416,74.81,0.0,10.4,265.4,HIGH,SRTM_30m_simulated,150
12.8416,74.81135,1.4,11.05,254.3,HIGH,SRTM_30m_simulated,150
12.8416,74.8127,3.2,10.0,346.4,HIGH,SRTM_30m_simulated,150
12.84295,74.81,0.0,8.28,35.8,HIGH,SRTM_30m_simulated,150
12.84295,74.81135,0.0,14.65,102.9,HIGH,SRTM_30m_simulated,150
12.84295,74.8127,1.5,10.97,140.8,HIGH,SRTM_30m_simulated,150
12.84295,74.81405,4.0,5.52,238.5,HIGH,SRTM_30m_simulated,150
12.8443,74.81,0.0,10.07,137.7,HIGH,SRTM_30m_simulated,150
12.8443,74.81135,0.0,6.74,336.0,HIGH,SRTM_30m_simulated,150
12.8443,74.8127,0.7,4.63,249.2,HIGH,SRTM_30m_simulated,150
12.8443,74.81405,3.3,13.12,243.5,HIGH,SRTM_30m_simulated,150
12.8443,74.8154,4.5,13.94,28.7,HIGH,SRTM_30m_simulated,150
12.84565,74.81,0.0,7.48,328.8,HIGH,SRTM_30m_simulated,150
12.84565,74.81135,0.0,10.11,280.6,HIGH,SRTM_30m_simulated,150
12.84565,74.8127,0.0,9.8,229.7,HIGH,SRTM_30m_simulated,150
12.84565,74.81405,1.4,14.78,332.4,HIGH,SRTM_30m_simulated,150
12.84565,74.8154,4.2,4.91,333.7,HIGH,SRTM_30m_simulated,150
12.847,74.81,0.0,1.14,169.9,HIGH,SRTM_30m_simulated,150
12.847,74.81135,0.0,9.13,222.7,HIGH,SRTM_30m_simulated,150
12.847,74.8127,0.0,3.81,79.1,HIGH,SRTM_30m_simulated,150
12.847,74.81405,1.2,8.12,284.4,HIGH,SRTM_30m_simulated,150
12.847,74.8154,3.4,2.08,45.5,HIGH,SRTM_30m_simulated,150
12.84835,74.81,0.0,10.54,223.0,HIGH,SRTM_30m_simulated,150
12.84835,74.81135,0.0,7.87,150.6,HIGH,SRTM_30m_simulated,150
12.84835,74.8127,0.0,5.41,308.5,HIGH,SRTM_30m_simulated,150
12.84835,74.81405,0.0,5.7,124.7,HIGH,SRTM_30m_simulated,150
12.84835,74.8154,1.5,8.02,335.6,HIGH,SRTM_30m_simulated,150
12.84835,74.81675,4.7,4.18,216.9,HIGH,SRTM_30m_simulated,150
12.8497,74.81,0.0,7.52,189.3,HIGH,SRTM_30m_simulated,150
12.8497,74.81135,0.0,4.23,297.4,HIGH,SRTM_30m_simulated,150
12.8497,74.8127,0.0,11.8,329.3,HIGH,SRTM_30m_simulated,150
12.8497,74.81405,0.0,3.54,224.3,HIGH,SRTM_30m_simulated,150
12.8497,74.8154,2.0,13.08,259.2,HIGH,SRTM_30m_simulated,150
12.8497,74.81675,4.1,12.32,296.8,HIGH,SRTM_30m_simulated,150
12.85105,74.81,0.0,12.61,34.3,HIGH,SRTM_30m_simulated,150
12.85105,74.81135,0.0,1.97,291.1,HIGH,SRTM_30m_simulated,150
12.85105,74.8127,0.0,5.64,68.9,HIGH,SRTM_30m_simulated,150
12.85105,74.81405,0.0,4.42,114.4,HIGH,SRTM_30m_simulated,150
12.85105,74.8154,0.8,9.44,237.8,HIGH,SRTM_30m_simulated,150
12.85105,74.81675,4.1,3.26,274.3,HIGH,SRTM_30m_simulated,150
12.8524,74.81,0.0,13.71,241.1,HIGH,SRTM_30m_simulated,150
12.8524,74.81135,0.0,1.15,268.2,HIGH,SRTM_30m_simulated,150
12.8524,74.8127,0.0,9.58,18.4,HIGH,SRTM_30m_simulated,150
12.8524,74.81405,0.0,8.26,203.8,HIGH,SRTM_30m_simulated,150
12.8524,74.8154,0.2,10.52,336.6,HIGH,SRTM_30m_simulated,150
12.8524,74.81675,3.3,12.77,147.4,HIGH,SRTM_30m_simulated,150
12.8524,74.8181,4.4,14.4,292.7,HIGH,SRTM_30m_simulated,150
12.85375,74.81,0.0,5.11,221.6,HIGH,SRTM_30m_simulated,150
12.85375,74.81135,0.0,6.72,107.7,HIGH,SRTM_30m_simulated,150
12.85375,74.8127,0.0,5.52,147.4,HIGH,SRTM_30m_simulated,150
12.85375,74.81405,0.0,0.81,44.4,HIGH,SRTM_30m_simulated,150
12.85375,74.8154,0.0,3.43,26.4,HIGH,SRTM_30m_simulated,150
12.85375,74.81675,2.1,12.34,102.1,HIGH,SRTM_30m_simulated,150
12.85375,74.8181,3.9,13.55,12.2,HIGH,SRTM_30m_simulated,150
12.8551,74.81,0.0,1.66,235.0,HIGH,SRTM_30m_simulated,150
12.8551,74.81135,0.0,8.94,213.5,HIGH,SRTM_30m_simulated,150
12.8551,74.8127,0.0,4.47,233.2,HIGH,SRTM_30m_simulated,150
12.8551,74.81405,0.0,6.07,26.0,HIGH,SRTM_30m_simulated,150
12.8551,74.8154,0.0,9.84,24.1,HIGH,SRTM_30m_simulated,150
12.8551,74.81675,1.4,12.65,279.4,HIGH,SRTM_30m_simulated,150
12.8551,74.8181,3.5,5.14,108.8,HIGH,SRTM_30m_simulated,150
12.85645,74.81,0.0,13.19,153.2,HIGH,SRTM_30m_simulated,150
12.85645,74.81135,0.0,3.57,198.5,HIGH,SRTM_30m_simulated,150
12.85645,74.8127,0.0,5.88,283.3,HIGH,SRTM_30m_simulated,150
12.85645,74.81405,0.0,12.08,150.0,HIGH,SRTM_30m_simulated,150
12.85645,74.8154,0.0,9.58,123.7,HIGH,SRTM_30m_simulated,150
12.85645,74.81675,1.0,0.35,69.1,HIGH,SRTM_30m_simulated,150
12.85645,74.8181,4.2,7.19,252.3,HIGH,SRTM_30m_simulated,150
12.8578,74.81,0.0,2.35,290.9,HIGH,SRTM_30m_simulated,150
12.8578,74.81135,0.0,13.91,51.8,HIGH,SRTM_30m_simulated,150
12.8578,74.8127,0.0,14.24,49.6,HIGH,SRTM_30m_simulated,150
12.8578,74.81405,0.0,10.69,263.7,HIGH,SRTM_30m_simulated,150
12.8578,74.8154,0.0,12.55,311.2,HIGH,SRTM_30m_simulated,150
12.8578,74.81675,2.7,12.08,327.3,HIGH,SRTM_30m_simulated,150
12.8578,74.8181,4.4,1.84,157.9,HIGH,SRTM_30m_simulated,150
12.85915,74.81,0.0,7.16,126.9,HIGH,SRTM_30m_simulated,150
12.85915,74.81135,0.0,4.53,165.5,HIGH,SRTM_30m_simulated,150
12.85915,74.8127,0.0,7.59,312.3,HIGH,SRTM_30m_simulated,150
12.85915,74.81405,0.0,11.86,285.3,HIGH,SRTM_30m_simulated,150
12.85915,74.8154,0.0,14.6,18.8,HIGH,SRTM_30m_simulated,150
12.85915,74.81675,1.4,0.82,65.3,HIGH,SRTM_30m_simulated,150
12.85915,74.8181,3.7,0.1,265.4,HIGH,SRTM_30m_simulated,150
12.8605,74.81,0.0,2.86,15.7,HIGH,SRTM_30m_simulated,150
12.8605,74.81135,0.0,2.0,338.0,HIGH,SRTM_30m_simulated,150
12.8605,74.8127,0.0,6.92,232.1,HIGH,SRTM_30m_simulated,150
12.8605,74.81405,0.0,4.81,56.5,HIGH,SRTM_30m_simulated,150
12.8605,74.8154,0.0,2.09,278.7,HIGH,SRTM_30m_simulated,150
12.8605,74.81675,1.5,12.58,114.9,HIGH,SRTM_30m_simulated,150
12.8605,74.8181,4.6,5.11,32.0,HIGH,SRTM_30m_simulated,150
12.86185,74.81,0.0,7.49,204.6,HIGH,SRTM_30m_simulated,150
12.86185,74.81135,0.0,5.91,64.4,HIGH,SRTM_30m_simulated,150
12.86185,74.8127,0.0,3.62,187.6,HIGH,SRTM_30m_simulated,150
12.86185,74.81405,0.0,12.75,92.1,HIGH,SRTM_30m_simulated,150
12.86185,74.8154,0.3,5.62,63.7,HIGH,SRTM_30m_simulated,150
12.86185,74.81675,0.9,11.78,206.8,HIGH,SRTM_30m_simulated,150
12.86185,74.8181,4.3,3.16,86.6,HIGH,SRTM_30m_simulated,150
12.8632,74.81,0.0,5.91,56.5,HIGH,SRTM_30m_simulated,150
12.8632,74.81135,0.0,3.26,217.6,HIGH,SRTM_30m_simulated,150
12.8632,74.8127,0.0,3.53,329.7,HIGH,SRTM_30m_simulated,150
12.8632,74.81405,0.0,10.8,348.5,HIGH,SRTM_30m_simulated,150
12.8632,74.8154,0.0,5.31,337.1,HIGH,SRTM_30m_simulated,150
12.8632,74.81675,2.1,2.89,254.9,HIGH,SRTM_30m_simulated,150
12.8632,74.8181,4.1,10.85,116.6,HIGH,SRTM_30m_simulated,150
12.86455,74.81,0.0,10.29,9.7,HIGH,SRTM_30m_simulated,150
12.86455,74.81135,0.0,12.26,217.5,HIGH,SRTM_30m_simulated,150
12.86455,74.8127,0.0,6.89,22.6,HIGH,SRTM_30m_simulated,150
12.86455,74.81405,0.0,12.97,324.6,HIGH,SRTM_30m_simulated,150
12.86455,74.8154,0.9,3.87,83.2,HIGH,SRTM_30m_simulated,150
12.86455,74.81675,2.3,14.12,46.0,HIGH,SRTM_30m_simulated,150
12.8659,74.81,0.0,0.66,182.9,HIGH,SRTM_30m_simulated,150
12.8659,74.81135,0.0,12.59,150.6,HIGH,SRTM_30m_simulated,150
12.8659,74.8127,0.0,14.86,216.2,HIGH,SRTM_30m_simulated,150
12.8659,74.81405,0.0,2.66,277.9,HIGH,SRTM_30m_simulated,150
12.8659,74.8154,0.3,8.86,142.2,HIGH,SRTM_30m_simulated,150
12.8659,74.81675,2.9,14.38,128.4,HIGH,SRTM_30m_simulated,150
