road_id,name,osm_id,road_type,start_lat,start_lon,end_lat,end_lon,mid_lat,mid_lon,length_km,lanes,flood_vulnerability,is_bridge,source,osm_download,osmnx_query
W001,NH 66 (Mumbai-Kanyakumari),25817234,primary,12.8698,74.8431,13.0021,74.8934,12.93595,74.86825,18.2,4,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W002,NH 75 (Mangalore-Bangalore),25817235,primary,12.8698,74.8431,12.8234,75.1203,12.8466,74.9817,29.4,4,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W003,SH 90 (Port Road),25817240,secondary,12.8698,74.8431,12.8523,74.8103,12.86105,74.8267,3.8,2,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W004,Kankanady Main Road,25817241,secondary,12.8698,74.8431,12.8834,74.8821,12.8766,74.8626,2.1,2,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W005,Bendoor Road,25817250,residential,12.8812,74.8501,12.8923,74.8612,12.88675,74.85565,1.4,1,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W006,Bejai Main Road,25817251,tertiary,12.8734,74.8623,12.8834,74.8756,12.8784,74.86895,1.8,2,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W007,Attavar Road,25817252,secondary,12.8623,74.8534,12.8712,74.8678,12.86675,74.8606,1.6,2,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W008,Balmatta Road,25817253,secondary,12.8701,74.8456,12.8789,74.8534,12.8745,74.8495,1.2,2,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W009,Court Road,25817254,tertiary,12.8678,74.8423,12.8712,74.8512,12.8695,74.84675,0.9,2,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W010,Kadri-Mangaladevi Road,25817255,tertiary,12.8789,74.8612,12.8867,74.8701,12.8828,74.86565,1.3,2,LOW,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
B001,Old Port Bridge (Netravathi),25817260,bridge,12.8534,74.8312,12.8523,74.8289,12.85285,74.83005,0.3,2,HIGH,True,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
B002,Tannir Bhavi Bridge,25817261,bridge,12.8456,74.8156,12.8445,74.8134,12.84505,74.8145,0.4,4,HIGH,True,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
B003,Gurpur River Bridge,25817262,bridge,12.8712,74.8423,12.8701,74.8401,12.87065,74.8412,0.2,2,MEDIUM,True,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
B004,MRPL Bridge,25817263,bridge,12.9234,74.8856,12.9223,74.8834,12.92285,74.8845,0.35,4,MEDIUM,True,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W011,Tannir Bhavi Road (Flood prone),25817270,unclassified,12.8423,74.8234,12.8501,74.8312,12.8462,74.8273,1.1,1,HIGH,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
W012,Ullal Beach Road,25817271,unclassified,12.8034,74.8112,12.8145,74.8201,12.80895,74.81565,1.3,1,HIGH,False,OpenStreetMap,https://download.geofabrik.de/asia/india/southern-zone.html,"ox.graph_from_place('Mangalore, India', network_type='drive')"
